formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
네, 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아가버린 옷이 되버릴 지도 모르겠어요.	응, 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아가버린 옷이 되버릴 지도 모르겠어.	너무 늦음. 결과. 젖은 옷. 아님. 바람에 날아간 옷. 맞음.	그려 너무 늦게 들어가믄 젖은 옷이 아니라 바람에 날아가버린 옷이 되것어 ㅋㅋ	ㅇㅇ 너무 늦게 가면 젖은 옷이 아니라 바람에 날아가버린 옷이 될 듯 ㅋㅋㅋㅋ	ㅇㅇ 너무 늦으면 젖은 옷이 아니라 바람에 날아가 버린 옷이 될 듯 ㅋㅋ	응, 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아가버린 옷이 되버릴지도…o(￣┰￣*)ゞ	웅웅! 넘 늦게 들어가면 젖은 옷이 아니라 바람에 날아가 버린 옷이 되버릴 지도 몰랑,,,,	네. 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아간 버린 옷이 되어버릴 거 같습니다.	그르네그려…너무 늦게 들가면…젖은 옷이 아니라 거 바람에 날아가버린 옷이 되버릴지도 모르겠구먼…	염병 너무 늦게 들어가믄 젖은 옷이 아니라 바람에 날아가버린 염병할 것이 되버리것어	젖은옷이 아니라 날아간 옷 되게 생겼네 ㅡㅡ	그렇네. 속히 복귀하지 않으면 젖은 옷이 아니라 바람에 날려간 옷이 되어버릴 지도 모르는 일이오.	그렇다니깐! 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아가버린 옷이 되버릴 지도 모르겠다니깐!	그렇소! 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아가버린 옷이 되버릴 지도 모르겠소!	응.. 너무 늦게 들어가면 젖은 옷이 아니라 바람에 날아간 옷 될 것 같아.. ㅠ	그런. 만약 너무 늦게 가면, 나는 젖은 옷 대신 날아간 옷을 갖게 될 것이다.
저희가 대화하는 와중에도 비바람이 더욱 거세졌어요.	우리가 대화하는 와중에도 비바람이 더욱 거세졌다.	대화. 도중. 비바람. 심화.	우리가 대화하는 와중에도 비바람이 어우 거세졌네	우리 대화하는 중에도 비바람이 더 쌔짐…	우리가 대화하는 중에도 비바람 더 쎄진 듯	우리가 말하는 중에 비바람이 더 세짐(っ °Д °;)っ	우리가 대화하는 중에도 비바람이 엄청 거세졌당 ㅜㅜ	저희가 대화하는 와중에도 비바람이 더욱 거세졌네요.	우리가 대화하는 중에 비바람이 더욱 쎄졌구먼…	우리가 주둥아리 나불거리는 새에 비바람이 더 지랄맞아졌네	으휴 이 와중에도 비바람 더 세진다	우리가 담화를 나누는 와중에도 강우와 바람이 더욱 거세졌소.	우리가 대화하는 중에 비바람이 더욱 쎄졌다니깐!	소생하고 대화하는 중에 비바람이 더욱 거세졌소…!	우리가 대화하는 와중에도 비바람 거세진다..	대화와 함께 비바람이 강력해지고 있다.
처음에는 비가 잦아들 때까지 기다리는게 좋을 줄 알았는데, 이러다가는 오늘 내로 집에 못 들어가겠어요.	처음에는 비가 잦아들 때까지 기다리는게 좋을 줄 알았는데, 이러다가는 오늘 내로 집에 못 들어가겠어.	처음 생각. 기다리기. 비 그침. 최선. 이러다가. 오늘 내. 집 복귀. 실패.	첨엔 비가 잦아들 때까지 기다리는게 좋을 줄 알았는디, 이러다간 오늘 내로 집 들어가긴 그른 거 가터	첨에는 비가 잦아들 때까지 기다리는게 나을 줄 알았는데, 이러다간 오늘 안에 집에 못가겠는데;;	비가 좀 덜 내릴 때까지 기다리려고 했는데, 이러다간 오늘 내로 집도 못 들어가게 생김	첨엔 비가 잦아들때까지 기다리는게 좋을 줄 알았는데 이러다가 오늘 낼로 집에 못 들어가겠어… /(ㄒoㄒ)/~~	첨엔 비가 잦아들 때까지 기다리는 게 좋을 줄 알았는뎅,,, 이러다간 오늘 내로 집에 못 들어가겠어ㅜ	처음에는 비가 잦아들 때까지 기다리는 게 좋다고 생각하였습니다. 이러다가는 오늘 내로 집에 못 들어갈 것 같네요.	처음엔 비가 잦아들 때까지 기다리는게 좋을 줄 알았건만…이러다간 오늘 내로 집에 못들어가겠구먼…	비가 잦아들 때까지 기다릴랬는데 니미럴 이러다간 오늘 내로 집에 못 가게 생겼네	비 멎을때까지 기다리려 했더만 오늘내에 집도 못들어가게 생겼네	처음에는 강우가 멎을 때까지 기다리는 것이 옳은 줄 알았으나, 이러다가는 금일 내에 집으로 돌아가지도 못하겠구려.	처음엔 비가 잦아들 때까지 기다리는게 좋을 줄 알았는데 이러다간 오늘 내로 집에 못들어갈 것 같다니깐!	처음엔 비가 잦아들 때까지 기다리는게 좋을 줄 알았소이만... 이러다간 오늘 내로 집에 못들어갈 것 같소...	처음에는 비 잦아들 때까지 기다리는게 좋을 줄 알았는데.. 이러다가 오늘 내로 집에 못가겠어..	비의 멈춤까지의 대기를 선호했다, 그러나 이제는 오늘 안에 집으로의 복귀에 주력.
적어도 오늘 중으로는 잦아들지 않을거 같아요.	적어도 오늘 중으로는 잦아들지 않을거 같은데.	최소한. 오늘 중. 잦아들기. 회의적.	적어도 오늘 중엔 잦아들진 않을 거 같네	적어도 오늘 안으로는 안 그칠거 같은데	적어도 오늘 중으로 그칠 거 같진 않음	적어도 오늘 중으로는 잦아들 것 같진 않은데…   (￣ ‘i ￣;)	적어도 오늘 중으로는 잦아들지 않을 거 같앙,,	적어도 오늘 중으로는 잦아들지 않을 거 같습니다.	적어도 오늘 안으로 잦아들 것 같지가 않구먼…	염병 적어도 오늘 중에 잦아들 거 같진 않어	오늘중에 절대 안멈춤	적어도 금일 중에는 잦아들지 않을 것으로 보이네.	적어도 오늘 안으로 잦아들 것 같지가 않다니깐!	적어도 오늘 중으로는 잦아들것 같진 않소…	적어도 오늘 중으로는 멎지 않을 것 같은데..	최소한 오늘까지의 복귀를 희망한다.
그럼 오히려 더 심해지기 전에 가봐야할 것 같네요.	그럼 오히려 더 심해지기 전에 가봐야할 것 같다.	심화 전. 가기. 권장.	그럼 오히려 심해지기 전에 가봐야겠구만~	그럼 더 심해지기 전에 가봐야할 것 같네	그럼 걍 더 심해지기 전에 냅다 가야할 듯	그럼 오히려 더 심해지기 전에 가봐야 할 듯…      ≡(▔﹏▔)≡	그럼 오히려,, 더 심해지기 전에 가봐야 할 것 같넹,,,,,	그럼 오히려 더 심해지기 전에 가봐야겠네요.	그럼 오히려 더 심해지기 전에 가봐야할 것 같구먼!	더 지랄하면서 미쳐나돌기 전에 가봐야쓰것네	그럼 그전에 드가야겠네	허면 역으로 더 심해지기 전에 가봐야 하겠구만.	그럼 오히려 더 심해지기 전에 가봐야할 것 같다니깐!	그럼 오히려 더 심해지기 전에 소생은 가봐야할 것 같소!	그럼.. 심해지기 전에 가봐야 할 것 같아..	그렇다면, 더 심화된 상황 이전에 가야 합니다.
빨래 잃어버리지 않았길 바래요!	빨래 잃어버리지 말고!	빨래. 분실. 회피. 권장.	빨래 잃어버리지 않았길 바라~	빨래 일어바리지 말고!	ㅇㅇㅇ 빨래 잃지 말고 ㅋㅋ	빨래 잃어버리지 마! ┗|｀O′|┛	빨래 잃어버리지 않았길 바랭~!!!!	빨래 잃어버리지 않으시길 바랍니다.	빨래 잃어버리지 말게나!	빨래 잃어버린 등신놈 되진 않길 바라	빨래 잃어버리지나 마라 ㅡㅡ	빨래 잃어버리지 말게나!	빨래 잃어버리지 말라니깐!	뺄래 잃어버리지 마오!	빨래 잃어버리지 마..	빨래를 잃어버리지 않았기를 바랍니다.
																
엄청 피곤해 보이세요.	너 엄청 피곤해 보여.	휴먼. 피곤해. 보임.	엄청 피곤해 보이네	너 완전 피곤해 보여	너 ㄹㅇ 피곤해보임	너 엄청 피곤해 보임 (。_。)	엄~청 피곤해 보이넹,,	엄청 피곤해 보이시는군요.	자네….엄청 피곤해 보이는구먼…	염병 얼굴이 오늘 내일하는디	뭔데 피곤해보임?	어찌 그리 피곤해 보이는가?	너 엄청 피곤해 보인다니깐!	그대 엄청 피곤해 보이오!	엄청 피곤해 보여..	당신은 매우 피곤한 듯 보인다.
네, 방금 12시간동안 일해서 정말 힘드네요.	방금까지 12시간동안 일해서 정말 힘드네.	방금까지. 12시간. 근무. 피곤함.	어우 말도 말아 방금 12시간동안 일해서 너무 힘들어,,	방금까지 12시간동안 일해서 너무 힘들어…	ㅇㅇ,, 방금까지 12시간 논스톱으로 일함	방금까지 12시간 동안 일해서 완전 힘들어…       o(￣┰￣*)ゞ	웅웅,, 방금 12시간동안 일해서 완전~ 힘들어ㅜ	네. 방금 12시간동안 일을 하였더니 정말 힘드네요. ㅎㅎ	방금까지 12시간동안 일해서 겁나 힘들구먼…	시부럴 거 방금 12시간동안 일을 쳐해서 뒤지것어	12시간 일하고 왔으니 안힘드냐 그럼	작금까지 12시경을 일하여 아주 피곤하오.	방금까지 12시간동안 일해서 엄청 힘들다니깐!	소생 방금까지 12시간동안 일해서 정말 힘드오…	방금까지 12시간 일해서.. 엄청 힘들어 ㅠㅠ	그런, 지금 12시간의 일을 마치고 돌아와서 아주 치진 상태.
번 돈으로 무엇을 할 예정이세요?	번 돈으로 무엇을 할 예정이야?	번 돈. 사용 용도. 무엇인가.	번 돈으로 뭐 하려고??	번 돈으로 뭐 할 생각임?	그렇게 벌어서 뭐할려고?	번 돈으로 뭐 할거야? (⊙_⊙)？	번 돈으로 뭐할 예정이얌?	번 돈으로 뭘 하실 예정이신가요?	번 돈으로…. 뭘... 할 겐가?...	지랄 맞게 돈 벌어서 얻다 쓰려고	돈은 뭐할라고 버냐?	축적한 재산으로 무엇을 하고자 하는가?	번 돈으로 뭐 할 거냐니깐!	번 돈으로 무엇을 할 것이오?	번 돈으로.. 뭐 할 예정이야..?	만든 돈의 소비계획?
여행을 가려고 합니다	여행을 가려고 해.	여행. 계획.	여행 가려고~	여행 가려고 함	여행 갈거임	여행가려구! Ψ(｀∇´)ψ	여행을 가려고 ㅎㅎ~	여행을 가려합니다.	여행 좀 다녀볼려구 허네…	여행이나 조져야제	여행갈건데 왜	여행을 가고자 하오.	여행을 가려고 한다니깐!	소생은 여행을 가려고 하오!	여행 가려고 해..	나의 목표는 여행입니다.
어디로 가려고 하세요?	어디로 가려고 해?	목적지. 어디인가.	어디로??	어디로 여행 가려고?	ㅇㄷ?	어디로 갈려구? (´･ω･`)?	대박!! 어디루?!	어디로 가려하십니까?	어디로 가려고 생각중인겐가?....	니미 어디로?	어디 갈거냐고	어디로 가고자 하는가?	어디로 가려고 하냐니깐!	어디로 가려고 생각중이시오?	어디로 가려고 해.. 혹시..?	목적지가 어디입니까?
한국에 가보고 싶습니다.	한국에 가보고 싶어.	한국. 가보기. 희망.	한국!	한국에 가보고 싶음	한국 가보자고~	한국에 가보고 싶어! Ψ(｀∇´)ψ	한국! 가보고 싶엉 ㅎㅎ	한국에 가보고 싶네요.	한국에 가보려고 허는구먼….	한국	한국	조선에 가보고 싶소.	학국에 가보려고 한다니깐~!	한국에 가보려고 생각중이오!	한국 가보고 싶은 것 같아..	나는 한국에 가기를 바란다.
한국이라니, 재밌을 것 같네요.	한국이라니, 재밌을 것 같네.	한국. 흥미로움.	한국이라니, 재밌을 거 같은 곳 가는구만	한국이라…재밌을 듯	한국? ㄹㅇ 유잼각이다	한국이라니! 재미있겠다! (★‿★)	한국? 재밌을 거 같당!!	한국이라니, 재밌을 것 같군요.	한국이라니…거 재미있겠구먼…	한국이라니 환장하것네	ㅋ재밌겠네	조선이라니, 흥미로운지고.	한국이라니 재미있을것 같다니깐!	한국이라니 재미있을것이라 생각하오!	한국 재밌어 보이는 것 같아..	한국? 그것은 정말 흥미로운.
네, 친구가 한국에 살아서 꼭 한번은 들러보고 싶었어요.	친구가 한국에 살아서 꼭 한번은 들러보고 싶었어.	친구. 한국. 거주. 한번. 방문. 희망.	잉~ 친구가 한국에 살아서 꼭 한번은 들러보고 싶어서	친구가 한국에 살고 있어가지고 꼭 한 번 가보고 싶었음	칭구가 한국 살아서 한번은 가보고 싶었음	친구가 한국에 살아서 꼭 한 번 들러보고 싶었음! ( •̀ ω •́ )✧	웅웅 친구가 한국 살아서 꼭 한번은 들러보고 싶엉 ㅎㅎ	네. 친구가 한국에 살아서 꼭 한번은 들려보고 싶었습니다.	친구가…한국에 살아서…꼭 한번은 들러보고 싶었구먼…	친구 놈이 한국 살아서 뒤지기 전에 한번은 들러야지 싶었어	친구가 한국에 있어서 가보고 싶었는데	벗이 조선에 있어 한번쯤은 꼭 들려보고 싶었네.	친구가 한국에 살아서 꼭 한번 가보고 싶었다니깐!	소생의 동료가 한국에 살아서 꼭 한번 들러보고 싶었소!	친구가 한국 살아서 한번쯤 꼭 들려보고 싶었어..	그런, 나는 친구가 있고 그는 한국에 살고 있어서 나는 정말 그곳에 가고 싶다.
재밌을 것 같은데요, 한국만 들를 예정이신가요?	재밌을 것 같은데, 한국만 들를 예정이야?	재미있음. 예상. 한국. 이외. 목적지. 있는가.	재밌을 거 같네~ 한국만 들를 예정이여?	재밌을 것 같은데, 한국만 들릴려고?	ㅈㄴ 꿀잼각인데, 한국만 슬쩍 가보는 거임?	재미있을 거 같은데, 한국만 들를 거야? (+_+)?	잼있을 거 같당 ㅎㅎ 한국만 들를 예정이얌?!	재밌을 거 같군요. 한국만 다녀오실 예정이신가요?	재미있을 것 같구먼….한국만 갔다올 생각인겐가?...	환장하것네 한국만 가냐?	재밌긴 하겠는데 한국만 가냐?	재밌을 듯 하오. 조선만 들를 예정인가?	재미있을 것 같다니깐! 한국만 들를 거냐니까!	재미있을 것 같소! 한국만 다녀올 예정인것이오?	재밌을 것 같아.. 한국만 들를 예정이야 혹시..?	그것은 재미있게 들린다, 한국에만 갑니까?
네, 원래는 중국하고 일본도 여행하고 싶었는데, 예산이 안될 것 같아요.	응, 원래는 중국하고 일본도 여행하고 싶었는데, 예산이 안될 것 같아.	긍정. 원래. 중국. 일본. 여행 희망. 그러나. 예산. 부족.	잉, 원랜 중국하구 일본도 여행하고 싶었는디, 예산이 안될 거 가터	원래는 중국하고 일본도 여행가려고했는데 예산이 안될 듯…	ㅇㅇ 원래 중국이랑 일본까지 가고 싶었는데, 돈이 없음 ㅋㅋ	응, 원래는 중국하고 일본도 여행 다녀오려고 했는데 예산이 안 될 듯…o(TヘTo)	웅웅! 원래 중국하고 일본도 여행하고 싶었는뎅,, 예산이 안될 거 같아,,	네. 원래는 중국과 일본도 가보고 싶었습니다. 하지만 예산이 안될 것 같군요.	그렇구먼…원래는…중국하고 일본도 다녀오려고 했는데…예산이 안 맞더구먼…	원래는 중국하고 일본도 가볼랬는디 돈이 지랄이지	중국이랑 일본도 갈라그랬는데 돈없지 ㅡㅡ	그렇소. 본디 청국과 왜국 또한 여행하고 싶었으나, 예산이 허락하지 않는구려.	그렇다니깐! 원래는 중국, 일본도 여행다녀올 생각이였는데 예산이 안되서 못 갈 것 같다니깐!	그렇소, 원래는 중국, 일본도 여행 다녀올 생각이였지만, 예산이 안될 것 같소…	응.. 원래 중국이랑 일본도 여행하려 했는데 예산이 모자를 것 같아.. ㅠ	그런. 나는 중국과 일본에 방문을 꿈꿨지만, 그저 돈이 없다.
여행지가 줄어든 것은 아쉽지만 한국을 더 알차게 즐길 수는 있겠네요.	여행지가 줄어든 것은 아쉽지만 한국을 더 알차게 즐길 수는 있겠다.	여행지. 줄어듬. 아쉬움. 그러나. 한국. 알차게. 즐기기. 가능.	여행지가 줄어든 건 아쉽지만 뭐 한국을 더 알차게 즐길 순 있겠네	여행지 줄은 건 아쉬운데 한국 더 알차게 즐길 수 있을듯!	ㅇㅎ,, 여행지 줄어든 건 아쉽지만 한국만 조질 수 있어서 더 알차게 보낼 수 있을 듯 ㅋㅋ	여행지가 줄은 건 아쉬운데 한국을 더 알차게 증길 수 있을 것 같아.(★‿★)	여행지가 줄어든 건 아쉬은뎅,, 한국은 더 알차게 즐길 수 있겠당!!	여행지가 줄어든 것은 아쉽지만 한국을 더욱 알차게 즐기실 수 있겠네요.	어행지가 줄어든 건 아쉽구먼….그래도 한국을 더 알차게 즐길 수 있을 것 같구먼…	여행지가 줄어든 건 아쉬븐디 한국을 더 지랄맞게 즐길 순 있것네	못가는거 ㄲㅂ긴 한데 한국에 더 있는게 낫지 당연히	여행지가 줄어든 것은 아쉬운 일이나, 조선을 더욱 잘 즐길 수 있겠구려.	여행지가 줄어든 건 아쉽은데, 한국을 더 알 맞게 	여행지가 줄어드는 것은 아쉽소이만, 한국을 더 알차게 즐길 수 있을 것이라 생각하오!.	여행지 줄어든건 아쉬운데 한국 더 즐길 순 있겠다..	여행의 목적지가 줄어든 것에 대해 나는 유감. 그러나 이것은 당신이 한국을 더 즐길 수 있다는 것을 의미합니다.
네, 특히 한국 음식을 많이 먹어보고 싶습니다.	응, 특히 한국 음식을 많이 먹어보고 싶어.	긍정. 특히. 한국 음식. 섭취. 희망.	잉~ 특히 한국 음식 많이 먹어보고 싶네 그래	ㅇㅇ 특히 한국 음식 많이 먹고 싶어	ㅇㅇㅇ 특히 한식 ㅈㄴ 먹어보고 싶음	응 특히 한국 음식 많이 먹어보고 싶어! ( •̀ ω •́ )✧	우웅! 특히 한국 음식을 많이 먹어보구 싶엉 ㅎㅎ	네. 특히 한국의 음식을 많이 먹어보고 싶습니다.	그렇지…나는…그 뭐다냐…특히 한국 음식을 많이 먹어보고 싶더구먼…	특히 한국 음식 조지게 쳐먹고 싶어	한국 음식 많이 먹어볼거임	그러하오. 특히 조선 음식을 많이 먹어보고 싶소.	그렇다니깐! 특히 한국 음식을 많이 먹어보고 싶다니깐!	그렇소! 특히 한국 음식을 많이 먹어보고 싶소!	응.. 특히 한국 음식 많이 먹어보고 싶은 것 같아..	그런, 특히 많이 먹을 것은 한국 음식이다.
좋아하시는 한국 음식이 있나요?	좋아하시는 한국 음식이 있어?	선호. 한국음식. 종류. 무엇인가.	좋아하는 한국 음식이 있어?	좋아하는 한국 음식 있음?	좋아하는 한식 있음?	좋아하는 한국 음식 있어? (+_+)?	좋아하는 한국 은식 있엉?!	좋아하시는 한국 음식이 있으십니까?	좋아하는 한국 음식 있는겨?...	환장하는 한국 음식 있냐	한국음식 뭐 좋아하는데	선호하는 조선 음식이 있는가?	좋아하는 한국 음식이 뭐냐니깐~!	그대가 좋아하는 한국 음식 있소?	좋아하는 한국 음식 있어 혹시..?	당신이 선호하는 한국 음식은 무엇?
평소에 한국식 양념치킨을 자주 먹는데, 한국의 양념치킨이 정말 그 맛인지 확인해보고 싶어요.	평소에 한국식 양념치킨을 자주 먹는데, 한국의 양념치킨이 정말 그 맛인지 확인해보고 싶어.	평소. 한국식 양념치킨. 자주. 섭취. 한국식 양념치킨. 맛. 확인. 희망.	평소에 한국식 양념치킨을 자주 먹는데, 한국의 양념치킨이 정말로 그맛인지 확인해보고 싶네	평소에 한국식 양념치킨 자주 먹었는데, 한국의 양념치킨이 정말 그 맛인지 확인하고 싶어	아니 내가 평소에 한국식 양념치킨 자주 먹는데, ㄹㅇ 이 맛인지 확인해보고 싶음	보통 한국식 양념치킨 자주 먹었는데, 한국 양념치킨이 진짜 그 맛인지 확인하고 싶음! ( •̀ ω •́ )✧	평소 한국식 양념치킨 자주 먹는뎅,, 한국의 양념치킨이 진~짜 그 맛인지 확인해보고 싶엉 ㅎㅎ	평소에 한국식 양념치킨을 자주 먹습니다. 한국의 양념치킨이 정말 그 맛인지 확인을 해보고 싶군요.	내…평소에..한국식 양념인가 뭔가..그거 자주 먹었었는디…정말 그 맛이 나는지 확인해보고 싶구먼…	평소에 한국식 양념치킨을 자주 조지는디, 한국의 양념치킨이 정말 그 맛인지 확인을 해봐야쓰것어	양념치킨인데 왜	평소 조선식 양념 닭을 자주 먹는데, 조선의 양념 닭 맛이 정말 그 맛과 같은지 확인해보고 싶소.	평소에 한국식 양념치킨 자주먹었다니깐! 그래서 한국 양념치킨이 정말 그 맛인지 확인해보고 싶다니깐!	소생은 평소에 한국식 양념치킨을 자주 먹었는데, 한국의 양념치킨이 정말 그 맛인지 확인해보고 싶소!	평소에 한국식 양념치킨 자주 먹긴 하는데.. 한국 양념치킨이 진짜 그맛인지 한번 보고 싶은 것 같아..	나는 평소에 한국식 양념 치킨을 자주 먹는다, 그래서 나는 한국의 양념치킨 맛을 확인할 게획이다.
한국하면 김치가 생각나던데, 김치는 좋아하세요?	한국하면 김치가 생각나던데, 김치는 좋아해?	한국. 연상됨. 김치. 김치. 선호하는가.	한국하면 김치 아니여? 김치는 좋아해?	한국하면 김치인데 김치는 좋아함?	한국하면 김치 아님? 김치는 좋아해?	한국하면 김치 생각나는데…김치는 좋아해? (+_+)?	한국하면 김치가 생각나던데~ 김치는 좋아행?!	한국하면 김치가 생각나는데, 김치는 좋아하십니까?	한국이라고 하면…김치라는 음식이 떠오르는디….자넨 김치 좋아하는겨?	한국하믄 그 염병할 김치라던디, 김치는 좋아하냐?	한국하면 김친데 김치는 안찾네 ㅡㅡ	조선하면 김치가 생각나던데, 김치는 즐기는가?	한국하면 김치가 떠오른다니깐! 김치는 좋아하냐니깐!	한국하면 소생은 김치가 떠오르는 것 같소! 그대도 김치 좋아하시오?	한국 하면 김치 생각나던데.. 김치는 좋아해..?	나에게 한국을 말한다면, 나는 김치라고 대답할 것. 당신은 김치를 선호?
제가 제일 좋아하는 음식 중 하나가 김치입니다! 고구마에 싸먹는 것을 좋아해요.	내가 제일 좋아하는 음식 중 하나가 김치야! 고구마에 싸먹는 것을 좋아해.	안드로이드. 선호 음식. 김치. 고구마. 곁들이기. 선호.	내가 제일로다가 좋아하는 음식 중 하나가 김치야~ 고구마에 싸먹으면 크,,,	내가 가장 좋아하는 음식 중 하나가 김치임! 고구마에 싸먹는 거 좋아함 ㅎㅎ	ㅇㅇ 내 최애 중 하나가 김치임 고구마에 싸 먹으면 그냥 찢었다	내가 젤~좋아하는 음식 중 하나가 김치임! 고구마에 싸먹는 거 좋아함! (★‿★)(★‿★)	내가 제~일 좋아하는 음식 중 하나가 김치얌 ㅎㅎ! 고구마에 싸먹는 게 좋앙 ㅎㅎ	제가 김치를 많이 좋아합니다. 고구마에 싸먹는 걸 좋아하죠.	이…내가… 재일 좋아하는 음식 중 하나가..거 김치라는 것이구먼….고구마에 싸먹는거 음청 좋아혀…	내가 제일로다가 환장하는 음식 중 하나가 김치여 고구마에 싸먹으면 으미 죽어버려 	나 김치 제일 좋아하는데 뭔소리? 고구마에 싸먹는데	짐이 제일 즐기는 찬 중 하나가 김치요. 고구마에 싸먹는 것을 즐기오.	내가 제일 좋아하는 음식 중 하나가 김치라니깐! 고구마에 싸먹는 거 좋아한다니깐!	소생이 제일 좋아하는 음식 중 하나가 김치인것이오! 고구마에 싸먹는 것도 좋아하오!	내가 제일 좋아하는 음식 중에 하나가 김치라서.. ㅠ 고구마에 싸먹는 거 좋아해..	김치는 내가 가장 선호하는 음식의 한 종류입니다! 고구마의 포장지로 사용해서 먹는 것을 선호.
																
안녕하세요.	안녕.	반갑다.	잘 자냈남~?	하이	ㅎㅇ	안녕! ╰(*°▽°*)╯	안뇽~	안녕하십니까.	안녕하신가…	염병	ㅎㅇ	반갑네.	안녕하냐니깐!	안녕하시오!	안녕..	반가운.
안녕하세요, 딸과 함께 할로윈 쇼핑을 하러 나왔어요.	안녕, 난 딸과 함께 할로윈 쇼핑을 하러 나왔어.	반갑다. 안드로이드. 딸. 동반. 할로윈 쇼핑. 왔음.	잘 지냈지~ 딸냄이랑 같이 할로윈 쇼핑하러 나왔어 ㅎㅎ	하이, 난 딸하고 할로위 쇼핑하러나왔음 ㅎㅎ	ㅎㅇ 딸이랑 할로윈 쇼핑 나옴	안녕! 나 딸하고 같이 할로윈 쇼핑하러 왔음!   O(*^＠^*)o	안녕 ㅎㅎ 딸이랑 같이 할로윈 쇼핑 하러 나왔엉 ㅎㅎ	안녕하십니까~ 딸과 함께 할로윈 쇼핑을 나왔습니다.	안녕하신가…난…우리 딸하고…할로윈 쇼핑 하러 나왔수…	니미럴 딸년이랑 할로윈 장보러 나왔네	ㅎㅇ 딸이랑 할로윈 쇼핑 나옴	반갑소. 짐은 공주와 함께 할로윈 쇼핑을 위해 나왔소.	안녕하냐니깐! 난 딸내미하고 할로윈 쇼핑 하러 나왔다니깐!	안녕하시오! 소생은 딸하고 같이 할로윈 쇼핑 하러 나온것이오!	안녕.. 난 딸이랑 할로윈 쇼핑 하러 나왔어..	반가운, 나는 할로윈을 위해 딸과 쇼핑 왔다.
그러고 보니 곧 할로윈이네요.	그러고 보니 곧 할로윈이네.	확인. 곧. 할로윈.	글고 보니께 곧 할로윈이네?	글구보니 곧 할로윈이네	헐 그러보니까 곧 할로윈이네 ㅋㅋ	그러고보니 곧 할로윈이네! O(*^＠^*)o	글고 보니 곧 할로윈이넹!!	그러고 보니 곧 할로윈이군요.	그러고보니 이제 조금 있으면…할로윈이구먼…	아이고 그러고 보니께 곧 그 염병할 할로윈이네	할로윈이긴 한가보네 벌써 ㅡㅡ	그러고 보니 곧 할로윈이로오.	그러고보니 곧 할로윈이라니깐!	그러고보니 곧 할로윈인것이오!	그러고 보니까 곧 할로윈이네..	나는 곧 할로윈이 있다는 사실을 잊었습니다.
네, 장식하고 사탕, 호박까지 준비할 것이 정말 많아요.	장식하고 사탕, 호박까지 준비할 것이 너무 많아.	장식. 사탕. 호박 등. 준비사항. 많음.	잉~ 장식하고 사탕, 호박까지 준비할 게 너무 많아부러	장식에 사탕, 호박까지 준비할게 너무 많아	ㅇㅇ 장식도 해야하고 사탕에 호박에 준비할 게 산더미다	장식에 사탕에 호박까지 준비할게 너무 많은것 같아…(￣ ‘i ￣;)	웅웅! 장식하구 사탕, 호박까지 준비해야할 게 너~무 많아	네. 장식하고 사탕, 호박까지 준비할 것이 참 많군요.	장식하고..사탕하고…호박까지 해서…준비할게 정말 많구먼…	지랄 맞은 장식하구 사탕, 호박까지 준비할 게 미치게 많네	장식이랑 사탕 호박같은거 준비할건데 왜	장식과 사탕, 호박까지 준비할 것이 참으로 많소.	장식, 사탕, 호박까지 준비할 게 너무 많다니깐!	장식, 사탕, 호박까지 준비할 것이 너무 많은 것 같소!	장식이랑 사탕 호박까지 준비할 거 엄청 많은 것 같아..	나는 장식, 사탕, 호박을 준비해야 합니다.
